date,value
1960-01-01,16.07382997531001
1960-02-01,5.060693208378897
1960-03-01,-4.611182790095199
1960-04-01,-3.77633068032648
1960-05-01,-2.7318443222498923
1960-06-01,1.454348142507094
1960-07-01,5.5160240870964286
1960-08-01,2.4960665587011004
1960-09-01,-4.059898640451271
1960-10-01,-7.257479108875306
1960-11-01,-8.21688390765945
1960-12-01,-2.6542406125517592
1961-01-01,6.327554736419727
1961-02-01,5.985493394658565
1961-03-01,6.764797718370856
1961-04-01,6.618679221968563
1961-05-01,6.573035782441603
1961-06-01,8.074295702348145
1961-07-01,7.775190844034982
1961-08-01,9.072768805096263
1961-09-01,4.353999945561506
1961-10-01,8.428678502862702
1961-11-01,9.10042058223587
1961-12-01,8.631728414783264
1962-01-01,4.488663114578344
1962-02-01,9.772276045374335
1962-03-01,4.215766684682205
1962-04-01,1.962462034680315
1962-05-01,2.261704982531624
1962-06-01,3.808595857198684
1962-07-01,7.6609902438863795
1962-08-01,4.194242616649539
1962-09-01,2.813152007853689
1962-10-01,-1.3235762530209805
1962-11-01,1.5882315956578086
1962-12-01,2.770561823721284
1963-01-01,5.538282921323745
1963-02-01,6.7865674134537
1963-03-01,1.821060062533419
1963-04-01,2.86294546842175
1963-05-01,5.62508754083538
1963-06-01,9.91303403139651
1963-07-01,11.392224705097233
1963-08-01,7.933639427064725
1963-09-01,2.82979982723658
1963-10-01,0.3925043133845585
1963-11-01,0.658038276074298
1963-12-01,7.366604061292137
1964-01-01,11.91343646235217
1964-02-01,10.137318297220936
1964-03-01,3.800862431362277
1964-04-01,3.0042794482847106
1964-05-01,3.35580954083301
1964-06-01,5.49698164405172
1964-07-01,10.249002597363017
1964-08-01,4.968327659514285
1964-09-01,0.7630883327433247
1964-10-01,-6.054504884222687
1964-11-01,6.377753558088486
1964-12-01,10.003589466603508
1965-01-01,11.222937029605475
1965-02-01,9.128509693836412
1965-03-01,7.798363653414552
1965-04-01,1.845605314035668
1965-05-01,3.84529789211121
1965-06-01,7.2360575509534675
1965-07-01,11.898316347089718
1965-08-01,8.774214914942103
1965-09-01,7.595163326056391
1965-10-01,9.193954051415854
1965-11-01,9.4402865821778
1965-12-01,11.626734499281692
1966-01-01,10.613569294444297
1966-02-01,8.448597957821487
1966-03-01,5.11356120293652
1966-04-01,-2.108806389622135
1966-05-01,-1.5177769683521234
1966-06-01,2.914241586749871
1966-07-01,4.255243683650248
1966-08-01,4.581035764051331
1966-09-01,4.188567473228048
1966-10-01,2.997461958857596
1966-11-01,1.356097190204508
1966-12-01,4.68910363828336
1967-01-01,6.221134827391932
1967-02-01,1.070979037845265
1967-03-01,0.2368184451039954
1967-04-01,-0.7447920739725022
1967-05-01,-0.5864043673692483
1967-06-01,4.079408870403784
1967-07-01,3.837008148131409
1967-08-01,7.382343633768294
1967-09-01,0.0467611021532601
1967-10-01,-1.2245968439273502
1967-11-01,6.916828094238488
1967-12-01,9.412057219183747
1968-01-01,6.979269964960917
1968-02-01,8.993195057011647
1968-03-01,8.026835016728931
1968-04-01,5.17074032362507
1968-05-01,7.141678620731506
1968-06-01,4.737723609329416
1968-07-01,3.798815909997055
1968-08-01,-0.4374541510785943
1968-09-01,0.6881666822250581
1968-10-01,0.3597383236568898
1968-11-01,3.5603624091664594
1968-12-01,4.936564149706605
1969-01-01,8.584775811912678
1969-02-01,6.5610860176502985
1969-03-01,3.5838637244967764
1969-04-01,-1.0638725838562817
1969-05-01,-1.4453019560416172
1969-06-01,3.238592996338233
1969-07-01,4.547261387378061
1969-08-01,2.998422203010666
1969-09-01,-0.973298904537896
1969-10-01,-2.876147577365063
1969-11-01,-5.271392994368264
1969-12-01,0.5306742098499098
1970-01-01,-1.2536503425511212
1970-02-01,1.9635657971443263
1970-03-01,-1.3174709068877917
1970-04-01,-1.6574964368714245
1970-05-01,2.456131325709979
1970-06-01,5.821669411882828
1970-07-01,7.56366840462707
1970-08-01,0.973324672240902
1970-09-01,-5.725163754181964
1970-10-01,-11.714355344880437
1970-11-01,-4.288048792183361
1970-12-01,15.414919111315768
1971-01-01,15.344884906905005
1971-02-01,10.495282557696587
1971-03-01,2.878400211162491
1971-04-01,-0.8889939621506007
1971-05-01,0.462898653517795
1971-06-01,4.945578099347301
1971-07-01,3.2591779268779124
1971-08-01,3.137183232922861
1971-09-01,3.07233756740318
1971-10-01,-2.169691617130576
1971-11-01,0.4060546152494431
1971-12-01,4.821225597769655
1972-01-01,9.126390503832772
1972-02-01,8.59037283279352
1972-03-01,10.920635547251896
1972-04-01,10.530140119300055
1972-05-01,7.138829009337863
1972-06-01,4.531542901353361
1972-07-01,0.5110039465042773
1972-08-01,5.613760405997168
1972-09-01,4.875077256477933
1972-10-01,6.133528913074719
1972-11-01,8.356490633370969
1972-12-01,9.262442232423684
1973-01-01,10.454792916363116
1973-02-01,11.145069576743715
1973-03-01,7.4633426183208655
1973-04-01,3.8365132420835217
1973-05-01,2.0237455467496
1973-06-01,-2.6232329109526544
1973-07-01,-4.361903055207437
1973-08-01,-2.841604530714416
1973-09-01,3.0144483324557108
1973-10-01,8.696865034115003
1973-11-01,4.701516523564172
1973-12-01,-4.68733306228676
1974-01-01,-6.592692102011783
1974-02-01,-4.028893873124082
1974-03-01,1.4687638686659636
1974-04-01,2.4006358004992574
1974-05-01,3.3106737597541245
1974-06-01,-4.180885919734338
1974-07-01,-6.087906018624371
1974-08-01,-5.566471890371003
1974-09-01,0.2401343379750811
1974-10-01,2.5158377593571366
1974-11-01,-3.4861063937282504
1974-12-01,-9.490521686315695
